Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1,ACC,MCC,AUC
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,5,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,6,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,7,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,8,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,velocity,velocity-1.4.csv,velocity-1.5.csv,9,0.64,0.98,0.77,0.64,0.13,0.53
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,1,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,2,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,3,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,4,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,5,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,6,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,7,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,8,0.75,0.05,0.1,0.42,0.06,0.51
Logistic Regression,xalan,xalan-2.4.csv,xalan-2.5.csv,9,0.75,0.05,0.1,0.42,0.06,0.51
