Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,ACC,F1,MCC
Naive Bayes,poi,poi-1.5.csv,poi-2.0.csv,3,0.7484076433121019,0.7803175469594773,0.8265175641767998,0.7484076433121019,0.15310555622657374
Naive Bayes,poi,poi-1.5.csv,poi-2.0.csv,4,0.7484076433121019,0.7803175469594773,0.8265175641767998,0.7484076433121019,0.15310555622657374
Naive Bayes,xerecs,xerces-1.2.csv,xerces-1.3.csv,0,0.8300220750551877,0.8154955166148977,0.8064581740078428,0.8300220750551877,0.24393461204944572
Naive Bayes,xerecs,xerces-1.2.csv,xerces-1.3.csv,1,0.8300220750551877,0.8154955166148977,0.8064581740078428,0.8300220750551877,0.24393461204944572
Naive Bayes,xerecs,xerces-1.2.csv,xerces-1.3.csv,2,0.8300220750551877,0.8154955166148977,0.8064581740078428,0.8300220750551877,0.24393461204944572
Naive Bayes,xerecs,xerces-1.2.csv,xerces-1.3.csv,3,0.8300220750551877,0.8154955166148977,0.8064581740078428,0.8300220750551877,0.24393461204944572
Naive Bayes,xerecs,xerces-1.2.csv,xerces-1.3.csv,4,0.8300220750551877,0.8154955166148977,0.8064581740078428,0.8300220750551877,0.24393461204944572
Naive Bayes,synapse,synapse-1.0.csv,synapse-1.1.csv,0,0.6936936936936937,0.7081811541271001,0.7436649675455647,0.6936936936936937,0.33626032860478305
Naive Bayes,synapse,synapse-1.0.csv,synapse-1.1.csv,1,0.6936936936936937,0.7081811541271001,0.7436649675455647,0.6936936936936937,0.33626032860478305
Naive Bayes,synapse,synapse-1.0.csv,synapse-1.1.csv,2,0.6936936936936937,0.7081811541271001,0.7436649675455647,0.6936936936936937,0.33626032860478305
Naive Bayes,synapse,synapse-1.0.csv,synapse-1.1.csv,3,0.6936936936936937,0.7081811541271001,0.7436649675455647,0.6936936936936937,0.33626032860478305
Naive Bayes,synapse,synapse-1.0.csv,synapse-1.1.csv,4,0.6936936936936937,0.7081811541271001,0.7436649675455647,0.6936936936936937,0.33626032860478305
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,0,0.6214953271028038,0.5465233374880196,0.5327656218654233,0.6214953271028038,-0.03541898608014287
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,1,0.6214953271028038,0.5465233374880196,0.5327656218654233,0.6214953271028038,-0.03541898608014287
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,2,0.6214953271028038,0.5465233374880196,0.5327656218654233,0.6214953271028038,-0.03541898608014287
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,3,0.6214953271028038,0.5465233374880196,0.5327656218654233,0.6214953271028038,-0.03541898608014287
Naive Bayes,velocity,velocity-1.4.csv,velocity-1.5.csv,4,0.6214953271028038,0.5465233374880196,0.5327656218654233,0.6214953271028038,-0.03541898608014287
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.8348623853211009,0.8291997717396076,0.8341347674786461,0.8348623853211009,0.620661523853952
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,1,0.8348623853211009,0.8291997717396076,0.8341347674786461,0.8348623853211009,0.620661523853952
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,2,0.8348623853211009,0.8291997717396076,0.8341347674786461,0.8348623853211009,0.620661523853952
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,3,0.8348623853211009,0.8291997717396076,0.8341347674786461,0.8348623853211009,0.620661523853952
Naive Bayes,log4j,log4j-1.0.csv,log4j-1.1.csv,4,0.8348623853211009,0.8291997717396076,0.8341347674786461,0.8348623853211009,0.620661523853952
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,0,0.6595394736842105,0.5707418503778562,0.6476527915139768,0.6595394736842105,0.14167165895131714
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,1,0.6595394736842105,0.5707418503778562,0.6476527915139768,0.6595394736842105,0.14167165895131714
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,2,0.6595394736842105,0.5707418503778562,0.6476527915139768,0.6595394736842105,0.14167165895131714
Naive Bayes,camel,camel-1.0.csv,camel-1.2.csv,3,0.6595394736842105,0.5707418503778562,0.6476527915139768,0.6595394736842105,0.14167165895131714
